wavelength,counts
880.5,2.06E+03
881,2.04E+03
881.5,2.03E+03
882,2.04E+03
882.5,2.05E+03
883,2.05E+03
883.5,2.04E+03
884,2.02E+03
884.5,2.00E+03
885,1.99E+03
885.5,1.99E+03
886,1.98E+03
886.5,1.97E+03
887,1.96E+03
887.5,1.94E+03
888,1.93E+03
888.5,1.92E+03
889,1.91E+03
889.5,1.90E+03
890,1.90E+03
890.5,1.88E+03
891,1.89E+03
891.5,1.88E+03
892,1.84E+03
892.5,1.81E+03
893,1.76E+03
893.5,1.71E+03
894,1.68E+03
894.5,1.66E+03
895,1.63E+03
895.5,1.61E+03
896,1.59E+03
896.5,1.57E+03
897,1.56E+03
897.5,1.54E+03
898,1.53E+03
898.5,1.51E+03
899,1.50E+03
899.5,1.50E+03
900,1.52E+03
900.5,1.53E+03
901,1.55E+03
901.5,1.57E+03
902,1.59E+03
902.5,1.60E+03
903,1.61E+03
903.5,1.61E+03
904,1.60E+03
904.5,1.60E+03
905,1.59E+03
905.5,1.57E+03
906,1.56E+03
906.5,1.54E+03
907,1.53E+03
907.5,1.52E+03
908,1.51E+03
908.5,1.51E+03
909,1.53E+03
909.5,1.55E+03
910,1.57E+03
910.5,1.59E+03
911,1.58E+03
911.5,1.56E+03
912,1.55E+03
912.5,1.53E+03
913,1.52E+03
913.5,1.52E+03
914,1.53E+03
914.5,1.52E+03
915,1.52E+03
915.5,1.51E+03
916,1.54E+03
916.5,1.57E+03
917,1.62E+03
917.5,1.67E+03
918,1.71E+03
918.5,1.72E+03
919,1.70E+03
919.5,1.68E+03
920,1.64E+03
920.5,1.61E+03
921,1.59E+03
921.5,1.59E+03
922,1.59E+03
922.5,1.60E+03
923,1.60E+03
923.5,1.59E+03
924,1.58E+03
924.5,1.56E+03
925,1.54E+03
925.5,1.52E+03
926,1.50E+03
926.5,1.48E+03
927,1.44E+03
927.5,1.40E+03
928,1.38E+03
928.5,1.35E+03
929,1.34E+03
929.5,1.34E+03
930,1.34E+03
930.5,1.33E+03
931,1.33E+03
931.5,1.32E+03
932,1.31E+03
932.5,1.30E+03
933,1.30E+03
933.5,1.29E+03
934,1.29E+03
934.5,1.29E+03
935,1.29E+03
935.5,1.29E+03
936,1.29E+03
936.5,1.29E+03
937,1.29E+03
937.5,1.30E+03
938,1.30E+03
938.5,1.31E+03
939,1.31E+03
939.5,1.31E+03
940,1.30E+03
940.5,1.30E+03
941,1.30E+03
